Country Name	Indicator Name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Afghanistan	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	14.1000003815	13.8999996185	13.6999998093	13.5	13.3999996185	13.1999998093	13.1000003815	12.8999996185	12.6999998093	12.6000003815	11.3000001907	11.3000001907	11.3999996185	11.5	11.6000003815	11.6999998093	11.8999996185	12.1000003815	12.3999996185	12.6999998093	13	13.1000003815	13.1999998093	
Albania	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	50.7000007629	53.2999992371	53.5	53.0999984741	52.5999984741	51.4000015259	50.4000015259	51.5	50.0999984741	48.7999992371	47.7000007629	46.5999984741	46.0999984741	42.9000015259	39.7999992371	36.9000015259	34.2999992371	31.8999996185	29.7000007629	27.8999996185	28.5	29.1000003815	29.7000007629	
Algeria	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	10.8000001907	11.3999996185	12.1000003815	12.8000001907	13.6000003815	14.3999996185	15.1999998093	14.3999996185	13.6000003815	12.8999996185	12.3000001907	11.6999998093	11.1999998093	10.8000001907	10.3999996185	10	9.6000003815	9.3000001907	9	8.6999998093	9.3000001907	9.3999996185	9.6000003815	
American Samoa	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Andorra	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Angola	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	52	52.2000007629	52.9000015259	54.7999992371	54.7999992371	54.2999992371	53.7999992371	53.5	53.2999992371	53.2000007629	53.2000007629	53.2000007629	52.4000015259	52.4000015259	51.9000015259	50.7999992371	49.9000015259	48.9000015259	48.4000015259	49	49.5999984741	49.7000007629	49.7999992371	
Antigua and Barbuda	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Arab World	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	19.8809350182	19.0226091946	18.5811971565	18.6278988057	19.0296854818	19.2264355511	19.2931959812	19.1149308106	18.8707763381	19.5793624486	18.7369875003	17.5209565497	18.3837394596	18.7039678115	18.726813432	18.4797886851	17.9311609131	17.4960221775	17.4663358396	17.2006242747	17.3552079833	17.4979496505	17.6211132039	
Argentina	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	43.7000007629	42.4000015259	41.2999992371	40.9000015259	40.5	41.2000007629	39.5	38.0999984741	36.7999992371	35.5	34.2999992371	34.7000007629	34.9000015259	35.0999984741	37.2000007629	35.5999984741	37.4000015259	36.2999992371	35.2999992371	34.2999992371	31.6000003815	31.5	31.5	
Armenia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	48.5999984741	48.7000007629	47	46.0999984741	46.2999992371	46.7000007629	46.9000015259	47.0999984741	47.2999992371	47.5	47.5999984741	47.5	44.9000015259	42.4000015259	39.9000015259	37.5999984741	35.5	33.5999984741	31.7999992371	28.3999996185	28.8999996185	29.3999996185	29.7999992371	
Aruba	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Australia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	68.9000015259	66.6999969482	66.3000030518	65.5999984741	68.1999969482	69.8000030518	69.5	67.6999969482	68	68.4000015259	68.9000015259	69.1999969482	68.3000030518	69	69.0999984741	69.5999984741	69.5	69.8000030518	69.5999984741	67.8000030518	67.3000030518	67.5999984741	66.6999969482	
Austria	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	60.2000007629	60.5	61.7000007629	58.2000007629	59.2999992371	56.5	55.5	54.7999992371	53.7999992371	51.9000015259	50.5999984741	49.7000007629	50.0999984741	49.7000007629	53.2999992371	54.9000015259	55.2999992371	56.9000015259	57.0999984741	57	54.0999984741	54.7999992371	55.0999984741	
Azerbaijan	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	44.2999992371	44.5	47	48.2999992371	48.2000007629	47.5999984741	47.2999992371	47.2999992371	47.2000007629	47.0999984741	45.5	44	42.5999984741	41.2000007629	39.9000015259	38.5999984741	37.4000015259	36.2000007629	35.0999984741	37.5999984741	41.2999992371	41.5999984741	41.7999992371	
Bahamas, The	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	52.7000007629	52.2000007629	52	51.9000015259	51.7000007629	52.2000007629	52.4000015259	52.2999992371	52.0999984741	51.5	51.0999984741	51.0999984741	51.2000007629	51.5999984741	51.9000015259	52.2000007629	52.4000015259	52.5999984741	52.7000007629	52.9000015259	53.0999984741	53.5999984741	54.0999984741	
Bahrain	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	23	23.2999992371	23.7000007629	24.1000003815	24.5	24.7999992371	25.1000003815	25.2000007629	25.3999996185	25.6000003815	25.8999996185	26.2000007629	27.2000007629	28.2999992371	29.5	29.8999996185	30.3999996185	31	31.6000003815	31.8999996185	32	31.8999996185	31.5	
Bangladesh	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	60	59.5999984741	58.7999992371	57.9000015259	57	56.2000007629	55.2999992371	54.4000015259	53.5999984741	52.7000007629	51.9000015259	51.7999992371	51.7000007629	51.5	51.4000015259	51.2999992371	51.2000007629	51.0999984741	51	50.9000015259	50.7999992371	50.7000007629	50.7000007629	
Barbados	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	61.5999984741	61.5	59.5	58.2000007629	56.7999992371	59.5999984741	61.2000007629	58	58	57.7000007629	57.0999984741	56.2000007629	54.4000015259	52.7999992371	50.7999992371	51.0999984741	51.2999992371	51.4000015259	51.5	51.7999992371	52	52.2000007629	52.5	
Belarus	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	51.9000015259	50.7000007629	49.5999984741	48.5999984741	47.5	46.4000015259	45.0999984741	43.7000007629	42.2000007629	40.9000015259	39.5999984741	38.4000015259	37.4000015259	36.4000015259	35.5999984741	34.7999992371	34.0999984741	33.5	32.9000015259	32.2999992371	33.0999984741	33.7000007629	34.0999984741	
Belgium	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	34.2000007629	35.2000007629	35.2999992371	32.0999984741	32.4000015259	31.2999992371	29.8999996185	29.7000007629	29.7999992371	30.3999996185	32.7999992371	29.7000007629	32	30.8999996185	32.4000015259	32.2000007629	32.0999984741	31.7999992371	30.8999996185	29.8999996185	29.5	29.3999996185	27.5	
Belize	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	37.5999984741	36.7999992371	35.9000015259	35.2999992371	35	34.7000007629	34.4000015259	34.7000007629	35.0999984741	35.4000015259	35.9000015259	36.4000015259	37	37.5999984741	38.2000007629	38.7999992371	39.5	40.2999992371	40.7999992371	41.5	42	42	42	
Benin	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	55	55	55	55.2999992371	55.5999984741	56	56.2999992371	56.5999984741	56.9000015259	57.2999992371	57.5999984741	57.9000015259	58.2000007629	58.0999984741	58.0999984741	58	57.9000015259	57.7999992371	57.7000007629	57.5999984741	57.5999984741	57.5	57.5	
Bermuda	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Bhutan	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	36.2999992371	36.2000007629	35.9000015259	35.5999984741	35.5999984741	36	36.9000015259	38.0999984741	39.5999984741	41.4000015259	43.2999992371	45.2999992371	47.4000015259	49.2000007629	50.7000007629	51.5999984741	52	52	51.5999984741	51	51	51	50.9000015259	
Bolivia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	42.5999984741	43.0999984741	43.5	43.9000015259	44.4000015259	44.7999992371	45.7000007629	46.5	46.5	46.5	46.4000015259	46.5999984741	46.7999992371	47	47.2000007629	47.4000015259	47.5	48.2000007629	48.2000007629	48.5999984741	48.7999992371	49	49.2000007629	
Bosnia and Herzegovina	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	25.3999996185	25.2999992371	25.2000007629	25.1000003815	25	25.1000003815	24.7999992371	24.6000003815	24.3999996185	24.3999996185	24.3999996185	24.2999992371	24.2999992371	24.2999992371	24.2000007629	24.2000007629	26.3999996185	25.6000003815	25.2999992371	24	25.2999992371	25.3999996185	25.6000003815	
Botswana	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	56.7000007629	56.5999984741	56.5	56.4000015259	56.2999992371	56.2999992371	56.2999992371	56.2999992371	56.4000015259	56.5	56.5999984741	56.7999992371	56.9000015259	57.0999984741	57.2999992371	57.5	57.5	57.5	57.5	57.4000015259	57.2999992371	57.2000007629	57.0999984741	
Brazil	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	47	49.9000015259	52.9000015259	52.2000007629	52.0999984741	52	50.2999992371	50.9000015259	51.0999984741	52.0999984741	51.5999984741	51.2000007629	52.9000015259	52.9000015259	54.5	56.0999984741	55.0999984741	55	54.7000007629	54.5	54.7999992371	54.7999992371	54.7000007629	
Brunei Darussalam	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	37.0999984741	37.5	37.7999992371	37.9000015259	38.2999992371	38.9000015259	39.9000015259	41.0999984741	42.4000015259	43.5	44.2000007629	44.5	43.5999984741	42.5999984741	41.5999984741	40.7999992371	40.4000015259	40.2000007629	40.2999992371	40.4000015259	40.5	40.7999992371	41.0999984741	
Bulgaria	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	46.7999992371	48.7000007629	50.2999992371	47.2999992371	44.2999992371	41.2000007629	38.0999984741	35	32	28.8999996185	25.8999996185	33.2999992371	30	27	27.5	26.5	28.7999992371	28.5	28.7999992371	27.6000003815	26.7999992371	24.7999992371	24.8999996185	
Burkina Faso	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	74.6999969482	74.3000030518	74.1999969482	74.0999984741	74	73.9000015259	73.8000030518	73.6999969482	73.5999984741	73.5999984741	73.5	73.4000015259	73.3000030518	73.1999969482	73.1999969482	73.0999984741	73	72.9000015259	72.8000030518	72.6999969482	72.5999984741	72.4000015259	72.1999969482	
Burundi	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	84.3000030518	83.0999984741	81.8000030518	80.5	79.0999984741	77.5999984741	76.1999969482	74.5999984741	73.0999984741	73	72.6999969482	72.4000015259	71.9000015259	71.4000015259	70.8000030518	70.3000030518	69.8000030518	69.3000030518	68.9000015259	68.5999984741	68.3000030518	68.0999984741	68	
Cabo Verde	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	47.5999984741	47.4000015259	47.2999992371	47.0999984741	47	46.7999992371	46.7000007629	46.5999984741	46.5	46.4000015259	46.4000015259	46.2999992371	46.2999992371	46.2999992371	46.2999992371	46.2999992371	46.2999992371	46.2000007629	46.2000007629	46.2999992371	46.2999992371	46.5999984741	46.9000015259	
Cambodia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	75.6999969482	75.5999984741	75.5999984741	75.9000015259	75.4000015259	74.6999969482	73.5999984741	72.9000015259	72.5	72	71.6999969482	72.8000030518	74	75.1999969482	76.5	76.3000030518	75.9000015259	75.5	74.9000015259	74.1999969482	73.6999969482	73.4000015259	73.3000030518	
Cameroon	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	41.2000007629	41.5999984741	42.0999984741	42.5	42.9000015259	43.2999992371	43.7999992371	43.7999992371	43.7999992371	43.7999992371	43.7999992371	43.9000015259	43.9000015259	43.9000015259	44	44	44.0999984741	44.2000007629	44.2000007629	44.2999992371	44.2999992371	44.4000015259	44.4000015259	
Canada	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	67.4000015259	66	64.4000015259	62.0999984741	61.7999992371	61.2999992371	60.4000015259	59.2000007629	60.0999984741	61.5999984741	62.9000015259	63.2000007629	65.1999969482	66.3000030518	65.9000015259	65.6999969482	66.3000030518	66.5999984741	67.0999984741	65.3000030518	64.5999984741	64.3000030518	63.4000015259	
Caribbean small states	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	46.154978287	46.1618019506	45.5997595568	45.1747188647	44.8133788962	44.2732127995	43.7989794224	42.5143007273	41.3816080394	40.310498189	39.5671419411	38.8889551328	38.3285508441	38.0585208146	38.3038144326	38.6592478006	38.7486195243	38.2955358255	37.9685431472	35.6209016679	34.7855109062	35.7022685743	35.1029624948	
Cayman Islands	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Central African Republic	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	57.7000007629	57.7000007629	57.7000007629	57.7000007629	57.5999984741	57.5999984741	57.5	57.5	57.5	57.4000015259	57.4000015259	57.4000015259	57.4000015259	57.4000015259	57.4000015259	57.2999992371	57.2999992371	57.2999992371	57.2999992371	57.2000007629	57.2000007629	57.0999984741	57	
Central Europe and the Baltics	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	43.7327232957	45.2436837165	45.2552523903	43.0242509196	41.1380901456	38.673263429	37.234855223	36.3249364597	35.8428324513	34.053517179	35.0279580876	34.5868245577	32.1825336386	30.2805293168	29.6551412457	27.9610715589	28.877523662	27.8083602482	27.7781445958	27.7355125945	27.7747954788	26.6759621731	27.080015801	
Chad	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	57	57	57	57	57	56.9000015259	56.9000015259	56.7999992371	56.7999992371	56.7000007629	56.7000007629	56.5999984741	56.5999984741	56.5	56.5	56.4000015259	56.4000015259	56.2999992371	56.2999992371	56.2000007629	56.0999984741	56.0999984741	56.0999984741	
Channel Islands	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Chile	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	25.3999996185	24.8999996185	27.2000007629	28.8999996185	29.2999992371	27.5	26.5	27.2999992371	25.7999992371	24.6000003815	24	22.3999996185	21.6000003815	22.5	23.6000003815	24.2999992371	24	24.8999996185	26.7999992371	26.3999996185	30.8999996185	32.0999984741	31.2999992371	
China	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	79	78.4000015259	77.8000030518	77.1999969482	76.5	75.5999984741	74.4000015259	73	71.3000030518	69.5	67.6999969482	65.4000015259	63.2999992371	61.2000007629	59.4000015259	57.9000015259	56.7000007629	55.7000007629	54.9000015259	54	52.7999992371	53.4000015259	53.7000007629	
Colombia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	26.3999996185	26.7999992371	27	27.2000007629	29	30.7999992371	32.7000007629	34.7999992371	36.9000015259	39.0999984741	41.2999992371	43.5	45.7000007629	47.7999992371	44.7000007629	43.2000007629	39.4000015259	36.5999984741	37.7000007629	38.2000007629	38.4000015259	38.7000007629	39	
Comoros	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	23.7999992371	23.7999992371	23.7999992371	23.8999996185	23.8999996185	23.8999996185	23.8999996185	23.8999996185	23.8999996185	24	24	24.1000003815	24.2000007629	24.2999992371	24.5	24.6000003815	24.6000003815	24.7000007629	24.7000007629	24.7000007629	24.7000007629	24.6000003815	24.6000003815	
Congo, Dem. Rep.	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	50.7999992371	50.7999992371	50.9000015259	50.9000015259	51	51	51	51	51	50.9000015259	50.9000015259	50.9000015259	50.9000015259	50.9000015259	50.7999992371	50.7999992371	50.4000015259	50	49.7000007629	49.2999992371	49	48.7999992371	48.5999984741	
Congo, Rep.	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	44.7999992371	44.7999992371	44.7999992371	44.7000007629	44.7000007629	44.7000007629	44.7000007629	44.7999992371	44.7999992371	44.7999992371	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.9000015259	44.7999992371	44.7000007629	44.5999984741	
Costa Rica	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	34.7999992371	35.5999984741	33.9000015259	34.7999992371	35.5999984741	35.5	31.5	33.7999992371	37.5999984741	37.0999984741	35.2000007629	37.5999984741	36.7000007629	35.7000007629	33.5999984741	37.2999992371	37.7000007629	39.0999984741	37.5999984741	36.5	36.5	36.5999984741	36.7000007629	
Cote d'Ivoire	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	37.7000007629	38.0999984741	38.4000015259	38.7999992371	39.2000007629	39.5	39.9000015259	40.2999992371	40.7000007629	40.5999984741	40.5999984741	40.5999984741	40.7000007629	40.7000007629	40.7999992371	40.7999992371	40.7999992371	40.7999992371	40.7000007629	40.5999984741	40.5	40.5	40.5	
Croatia	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	36.7000007629	40.7999992371	40.5	40.2000007629	40	39.9000015259	39.7000007629	39.5999984741	39.5	39.5	39.4000015259	39.4000015259	36.0999984741	34.5999984741	35.2000007629	33.5	32.7999992371	30.8999996185	29.2999992371	28	27.7999992371	25.1000003815	24.5	
Cuba	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	28.8999996185	29	29.2999992371	29.7000007629	29.8999996185	29.8999996185	29.7000007629	29.1000003815	28.2000007629	27.2999992371	26.3999996185	25.7000007629	25.2000007629	24.7999992371	24.5	25.7999992371	27.3999996185	31.5	31.7999992371	35.9000015259	36.2000007629	36.5	36.5999984741	
Curacao	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Cyprus	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	42.2999992371	42.0999984741	39.5999984741	41.9000015259	39	39.9000015259	40.5999984741	38.0999984741	37.7999992371	38.0999984741	41.2999992371	43.7000007629	40.9000015259	42.5999984741	40.9000015259	40.7999992371	40	39.7000007629	40.7000007629	40.4000015259	41	36.7000007629	36.0999984741	
Czech Republic	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	37.7999992371	42.2000007629	42.5	42.5999984741	43.7999992371	41.7000007629	40.2000007629	39.5999984741	41.5999984741	41.9000015259	41	38.7999992371	36	34.4000015259	31.6000003815	28.6000003815	28.7999992371	26.6000003815	25.8999996185	26	25.1000003815	24	25.7999992371	
Denmark	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	70.4000015259	71.3000030518	71.1999969482	70.0999984741	66.1999969482	69.4000015259	71	70.3000030518	71.6999969482	70	68.5999984741	64.9000015259	66.5	63.5	66.0999984741	66.4000015259	69.4000015259	69.1999969482	71.5	69.9000015259	67.3000030518	67	63.9000015259	
Djibouti	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	41.7999992371	41.7999992371	41.7000007629	41.5	41.4000015259	41.4000015259	41.2999992371	41.2999992371	41.2999992371	41.2999992371	41.2000007629	41.0999984741	40.7999992371	40.5999984741	40.2999992371	40.2000007629	40.2000007629	40.2000007629	40.2999992371	40.5	40.5999984741	40.7000007629	40.7999992371	
Dominica	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)																								
Dominican Republic	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	41.7000007629	41.5999984741	40.7999992371	40.2999992371	40.0999984741	39.7000007629	39.4000015259	39	38.7000007629	38.5	38.2999992371	38.7000007629	39.2000007629	39.5999984741	40.2000007629	40.7000007629	41.2000007629	41.7000007629	41.7000007629	41.7000007629	41.4000015259	41.5999984741	41.7999992371	
East Asia & Pacific (all income levels)	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	69.700256129	68.9208463836	68.1188570291	67.4111684079	66.6806000467	65.9237052329	64.8658331961	63.492252897	61.834029496	61.0914437224	60.0553097529	58.9322002715	57.5451772922	56.3603654139	55.2827454684	54.3327647436	53.2438128785	52.3902532049	51.6525064802	50.9612268124	50.0298670307	50.3165247976	50.3962740076	
East Asia & Pacific (developing only)	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	71.9417382894	71.066758621	70.1864344941	69.4226957803	68.5801305761	67.7173421537	66.5544899174	65.0596730756	63.3105568346	62.5320291565	61.3296228061	60.0525567618	58.5622231959	57.2361150444	56.0272254817	54.9456341296	53.7967931964	52.9310066558	52.1722269411	51.4797744715	50.518882346	50.8755297801	50.9897505569	
Ecuador	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	36.7999992371	37.0999984741	37.7000007629	38.5	38.7999992371	39.4000015259	39.7999992371	40	40.4000015259	41.5999984741	41.9000015259	54.5	49.9000015259	45.5999984741	47.0999984741	44.0999984741	45.5	42.2000007629	41.2000007629	40	40.5	40.7000007629	41	
Egypt, Arab Rep.	Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)	25.7999992371	22.1000003815	20.1000003815	19.8999996185	20.3999996185	19.5	18.7999992371	18.1000003815	17.3999996185	20.6000003815	18.8999996185	17.3999996185	21.3999996185	21.6000003815	21.8999996185	22.2000007629	20.5	19.2000007629	19.5	19.7999992371	19.8999996185	20	20	
