"Data underlying the calculation of the 1990, 1995, 2000, 2005, and 2013 Global Hunger Index Scores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Prevalence of undernourishment in the population  (%),,,,,,,,,,Prevalence of underweight in children under five years  (%),,,,,,,,,,Under-five Mortality rate  (%),,,,,2013 Global Hunger Index,,,,,
,1990-92,,1994-96,,1999-01,,2004-06,,2010-12,,1988-92,,1993-97,,1998-02,,2003-07,,2008-12,,1990,1995,2000,2005,2011,1990,1995,2000,2005,2013,
Country,,,,,,,,,,,,,,,,,,,,,,,,,,(with data from 1988-92),(with data from 1993-97),(with data from 1998-2002),(with data from 2003-2007),(with data from 2008-12),
Afghanistan,,,,,,,,,,,,,44.9,,31.3,*,32.8,,25.0,,19.2,15.8,13.6,11.9,10.1,,,,,,
Albania,9.0,*,2.4,*,3.8,*,9.7,*,7.8,*,14.5,*,12.1,*,17.0,,6.6,,6.3,,4.1,3.5,2.6,2.0,1.4,9.2,6.0,7.8,6.1,5.2,
Algeria,5.2,,6.4,,5.8,,5.0,*,3.7,*,9.2,,11.3,,5.4,,3.7,,5.7,*,6.6,5.5,4.6,3.8,3.0,7.0,7.7,5.3,<5,<5,
Angola,63.9,,56.4,,47.5,,35.1,,27.4,,30.4,*,37.0,,27.5,,15.1,,14.1,*,24.3,22.2,19.9,17.9,15.8,39.5,38.5,31.6,22.7,19.1,
Argentina,2.1,*,1.2,*,0.9,*,1.9,*,4.0,*,3.5,*,3.2,,2.3,*,2.3,,1.8,*,2.8,2.3,2.0,1.7,1.4,<5,<5,<5,<5,<5,
Armenia,,,21.3,,19.0,,5.4,,3.0,*,,,5.4,*,2.6,,4.2,,5.3,,,3.8,3.0,2.3,1.8,,10.2,8.2,<5,<5,
Azerbaijan,,,26.3,,14.7,,2.2,*,1.5,*,,,8.8,,14.0,,8.4,,3.3,*,,8.4,6.9,5.7,4.5,,14.5,11.9,5.4,<5,
Bahrain,,,,,,,,,,,6.3,,7.6,,5.6,*,6.3,*,6.6,*,2.1,1.6,1.2,1.1,1.0,,,,,,
Bangladesh,34.6,,36.3,,18.4,,15.1,,16.8,,61.5,,58.0,,45.3,,39.2,,36.8,,13.9,11.1,8.4,6.4,4.6,36.7,35.1,24.0,20.2,19.4,
Belarus,,,1.1,*,2.3,*,2.8,*,0.4,*,,,1.5,*,1.0,*,1.3,,0.9,*,,1.7,1.4,0.9,0.6,,<5,<5,<5,<5,
Benin,22.4,,18.7,,16.4,,13.1,,8.1,,27.3,*,26.8,,21.5,,20.2,,21.2,*,17.7,15.9,14.0,12.3,10.6,22.5,20.5,17.3,15.2,13.3,
Bhutan,,,,,,,,,,,34.0,,26.1,*,14.1,,14.6,*,12.8,,13.8,11.2,8.9,7.1,5.4,,,,,,
Bolivia,34.6,,30.7,,28.7,,29.1,,24.1,,9.7,,10.0,,5.9,,5.9,,4.5,,12.0,10.0,8.1,6.5,5.1,18.8,16.9,14.2,13.8,11.2,
Bosnia & Herzegovina,,,6.4,*,6.3,*,2.1,*,2.8,*,,,4.1,*,4.2,,1.6,,1.6,,,1.3,1.0,0.9,0.8,,<5,<5,<5,<5,
Botswana,27.4,,29.3,,34.5,,32.9,,27.9,,17.8,*,15.1,,10.7,,11.4,*,11.2,,5.3,6.5,8.1,4.6,2.6,16.8,17.0,17.8,16.3,13.9,
Brazil,14.9,,13.5,,12.1,,8.7,,6.9,,5.3,,4.5,,3.6,*,3.0,,3.0,*,5.8,4.8,3.6,2.5,1.6,8.7,7.6,6.4,<5,<5,
Bulgaria,3.5,*,7.8,*,7.0,*,7.9,*,6.9,*,2.1,*,2.6,*,2.3,*,2.2,,1.6,*,2.2,2.3,2.1,1.6,1.2,<5,<5,<5,<5,<5,
Burkina Faso,22.9,,18.6,,26.4,,25.8,,25.9,,36.9,*,29.6,,33.7,,37.6,,26.2,,20.8,19.9,18.2,16.5,14.6,26.9,22.7,26.1,26.6,22.2,
Burundi,49.0,,58.4,,63.0,,67.9,,73.4,,34.2,*,38.3,*,38.9,,35.2,,29.1,,18.3,17.7,16.5,15.3,13.9,33.8,38.1,39.5,39.5,38.8,
Cambodia,39.9,,37.7,,33.8,,27.4,,17.1,,44.9,*,42.6,,39.5,,28.4,,29.0,,11.7,11.9,10.2,6.9,4.3,32.2,30.7,27.8,20.9,16.8,
Cameroon,38.7,,37.3,,29.1,,19.5,,15.7,,18.0,,20.0,*,17.8,,15.9,,15.1,,14.5,14.1,14.0,13.6,12.7,23.7,23.8,20.3,16.3,14.5,
Central African Rep.,49.5,,50.6,,45.1,,40.6,,30.0,,25.7,*,20.4,,21.8,,28.0,,23.5,,16.9,17.3,17.2,17.0,16.4,30.7,29.4,28.0,28.5,23.3,
Chad,61.1,,50.5,,41.0,,37.3,,33.4,,34.6,*,34.3,,29.4,,33.9,,30.3,,20.8,19.8,18.9,18.0,16.9,38.8,34.9,29.8,29.7,26.9,
Chile,8.1,,5.6,,4.4,*,3.2,*,3.7,*,1.0,*,0.8,,0.7,,0.6,,0.5,,1.9,1.4,1.1,0.9,0.9,<5,<5,<5,<5,<5,
China,21.4,,15.9,,14.4,,13.1,,11.5,,12.6,,10.7,,7.4,,4.5,,3.4,,4.9,4.6,3.5,2.4,1.5,13.0,10.4,8.4,6.7,5.5,
Colombia,19.1,,14.7,,13.0,,13.6,,12.6,,8.8,,6.3,,4.9,,5.1,,3.4,,3.4,2.9,2.5,2.1,1.8,10.4,8.0,6.8,6.9,5.9,
Comoros,43.5,,49.1,,64.8,,58.1,,70.0,,16.2,,22.3,,25.0,,22.1,,22.8,*,12.2,11.0,10.0,9.1,7.9,24.0,27.5,33.3,29.8,33.6,
"Congo, Dem. Rep.",,,,,,,,,,,21.4,*,30.7,,33.6,,28.2,,24.2,,18.1,18.1,18.1,18.1,16.8,,,,,,
"Congo, Rep.",42.8,,44.7,,30.1,,32.9,,37.4,,16.4,*,15.8,*,17.0,*,11.8,,14.1,*,11.9,11.3,10.9,10.4,9.9,23.7,23.9,19.3,18.4,20.5,
Costa Rica,4.0,*,5.0,,4.4,*,5.0,*,6.5,,2.5,,3.2,,1.6,*,1.3,*,1.1,,1.7,1.5,1.3,1.1,1.0,<5,<5,<5,<5,<5,
Croatia,,,14.6,*,11.6,*,2.1,*,1.5,*,,,0.5,,0.5,*,0.3,*,0.3,*,,1.0,0.8,0.7,0.5,,5.4,<5,<5,<5,
Cuba,11.5,,16.1,,2.8,*,1.1,*,0.6,*,3.6,*,5.0,*,3.4,,3.5,,3.3,*,1.3,1.1,0.9,0.7,0.6,5.5,7.4,<5,<5,<5,
Côte d'Ivoire,13.7,,14.0,,19.9,,19.6,,21.4,,20.0,*,20.9,,18.2,,16.7,,15.4,,15.1,14.6,13.9,12.8,11.5,16.3,16.5,17.3,16.4,16.1,
Djibouti,68.0,,58.1,,47.1,,32.6,,19.8,,20.2,,16.0,,25.4,,29.6,,29.8,,12.2,11.3,10.6,9.8,9.0,33.5,28.5,27.7,24.0,19.5,
