Country,Indicator,Year,Estimated,Data
Afghanistan,Prevalence of undernourishment in the population  (%),1990-92,,
Albania,Prevalence of undernourishment in the population  (%),1990-92,1,9
Algeria,Prevalence of undernourishment in the population  (%),1990-92,,5.2
Angola,Prevalence of undernourishment in the population  (%),1990-92,,63.9
Argentina,Prevalence of undernourishment in the population  (%),1990-92,1,2.1
Armenia,Prevalence of undernourishment in the population  (%),1990-92,,
Azerbaijan,Prevalence of undernourishment in the population  (%),1990-92,,
Bahrain,Prevalence of undernourishment in the population  (%),1990-92,,
Bangladesh,Prevalence of undernourishment in the population  (%),1990-92,,34.6
Belarus,Prevalence of undernourishment in the population  (%),1990-92,,
Benin,Prevalence of undernourishment in the population  (%),1990-92,,22.4
Bhutan,Prevalence of undernourishment in the population  (%),1990-92,,
Bolivia,Prevalence of undernourishment in the population  (%),1990-92,,34.6
Bosnia & Herzegovina,Prevalence of undernourishment in the population  (%),1990-92,,
Botswana,Prevalence of undernourishment in the population  (%),1990-92,,27.4
Brazil,Prevalence of undernourishment in the population  (%),1990-92,,14.9
Bulgaria,Prevalence of undernourishment in the population  (%),1990-92,1,3.5
Burkina Faso,Prevalence of undernourishment in the population  (%),1990-92,,22.9
Burundi,Prevalence of undernourishment in the population  (%),1990-92,,49
Cambodia,Prevalence of undernourishment in the population  (%),1990-92,,39.9
Cameroon,Prevalence of undernourishment in the population  (%),1990-92,,38.7
Central African Rep.,Prevalence of undernourishment in the population  (%),1990-92,,49.5
Chad,Prevalence of undernourishment in the population  (%),1990-92,,61.1
Chile,Prevalence of undernourishment in the population  (%),1990-92,,8.1
China,Prevalence of undernourishment in the population  (%),1990-92,,21.4
Colombia,Prevalence of undernourishment in the population  (%),1990-92,,19.1
Comoros,Prevalence of undernourishment in the population  (%),1990-92,,43.5
"Congo, Dem. Rep.",Prevalence of undernourishment in the population  (%),1990-92,,
"Congo, Rep.",Prevalence of undernourishment in the population  (%),1990-92,,42.8
Costa Rica,Prevalence of undernourishment in the population  (%),1990-92,1,4
Croatia,Prevalence of undernourishment in the population  (%),1990-92,,
Cuba,Prevalence of undernourishment in the population  (%),1990-92,,11.5
Côte d'Ivoire,Prevalence of undernourishment in the population  (%),1990-92,,13.7
Djibouti,Prevalence of undernourishment in the population  (%),1990-92,,68
Dominican Republic,Prevalence of undernourishment in the population  (%),1990-92,,30.4
Ecuador,Prevalence of undernourishment in the population  (%),1990-92,,24.5
"Egypt, Arab Rep.",Prevalence of undernourishment in the population  (%),1990-92,1,2
El Salvador,Prevalence of undernourishment in the population  (%),1990-92,,15.6
Eritrea,Prevalence of undernourishment in the population  (%),1990-92,,
Estonia,Prevalence of undernourishment in the population  (%),1990-92,,
Ethiopia,Prevalence of undernourishment in the population  (%),1990-92,,68
Fiji,Prevalence of undernourishment in the population  (%),1990-92,,6.2
Gabon,Prevalence of undernourishment in the population  (%),1990-92,,10.1
"Gambia, The",Prevalence of undernourishment in the population  (%),1990-92,,19.5
Georgia,Prevalence of undernourishment in the population  (%),1990-92,,
Ghana,Prevalence of undernourishment in the population  (%),1990-92,,40.5
Guatemala,Prevalence of undernourishment in the population  (%),1990-92,,16.2
Guinea,Prevalence of undernourishment in the population  (%),1990-92,,18.4
Guinea-Bissau,Prevalence of undernourishment in the population  (%),1990-92,,22
Guyana,Prevalence of undernourishment in the population  (%),1990-92,,19.7
Haiti,Prevalence of undernourishment in the population  (%),1990-92,,63.5
Honduras,Prevalence of undernourishment in the population  (%),1990-92,,21.4
India,Prevalence of undernourishment in the population  (%),1990-92,,26.9
Indonesia,Prevalence of undernourishment in the population  (%),1990-92,,19.9
"Iran, Islamic Rep.",Prevalence of undernourishment in the population  (%),1990-92,1,3.4
Iraq,Prevalence of undernourishment in the population  (%),1990-92,,
Jamaica,Prevalence of undernourishment in the population  (%),1990-92,,9
Jordan,Prevalence of undernourishment in the population  (%),1990-92,,6.7
Kazakhstan,Prevalence of undernourishment in the population  (%),1990-92,,
Kenya,Prevalence of undernourishment in the population  (%),1990-92,,35.6
Kuwait,Prevalence of undernourishment in the population  (%),1990-92,,28.7
Kyrgyz Republic,Prevalence of undernourishment in the population  (%),1990-92,,
Lao PDR,Prevalence of undernourishment in the population  (%),1990-92,,44.6
Latvia,Prevalence of undernourishment in the population  (%),1990-92,,
Lebanon,Prevalence of undernourishment in the population  (%),1990-92,1,3.5
Lesotho,Prevalence of undernourishment in the population  (%),1990-92,,16.9
Liberia,Prevalence of undernourishment in the population  (%),1990-92,,32.9
Libya,Prevalence of undernourishment in the population  (%),1990-92,1,1
Lithuania,Prevalence of undernourishment in the population  (%),1990-92,,
