Name,2012 Seats in National Parliament (% female),2011 LaborForceF,2011LaborForceM,2010 Maternal Mortality Ratio,Adolescent Fertility Rate,2006-2010 Population with at least secondary education (Female),2006-2010 Population with at least secondary education (Male),2011 Labour force participation rate (Female),2011 Labour force participation rate (Male),2010GII,2012GII,IFPRI_Global_Hunger_Index_data.Indicator,IFPRI_Global_Hunger_Index_data.Year,IFPRI_Global_Hunger_Index_data.Data,IFPRI_Global_Hunger_Index_data_1.Indicator,IFPRI_Global_Hunger_Index_data_1.Year,IFPRI_Global_Hunger_Index_data_1.Data,IFPRI_Global_Hunger_Index_data_2.Indicator,IFPRI_Global_Hunger_Index_data_2.Year,IFPRI_Global_Hunger_Index_data_2.Data,IFPRI_Global_Hunger_Index_data_3.Indicator,IFPRI_Global_Hunger_Index_data_3.Year,IFPRI_Global_Hunger_Index_data_3.Data,Expr1024,MeanStuntingF,MeanStuntingM
Albania,15.7,49.6,71.3,27,14.9,78.8,85,49.6,71.3,0.261,0.251,2013 Global Hunger Index,2013,5.2,Under-five Mortality rate  (%),2011,1.4,Prevalence of undernourishment in the population  (%),2010-12,7.8,Prevalence of underweight in children under five years  (%),2008-12,6.3,28.43333333,28.43333333,30.93333333
Armenia,10.7,49.4,70.2,30,33.2,94.1,94.8,49.4,70.2,0.355,0.34,2013 Global Hunger Index,2013,5,Under-five Mortality rate  (%),2011,1.8,Prevalence of undernourishment in the population  (%),2010-12,3,Prevalence of underweight in children under five years  (%),2008-12,5.3,18.1,18.1,19.56666667
Azerbaijan,16,61.6,68.5,43,31.4,90,95.7,61.6,68.5,,0.323,2013 Global Hunger Index,2013,5,Under-five Mortality rate  (%),2011,4.5,Prevalence of undernourishment in the population  (%),2010-12,1.5,Prevalence of underweight in children under five years  (%),2008-12,3.3,24.35,24.35,26.45
Belarus,29.7,50.2,62.6,4,20.5,,,50.2,62.6,,,2013 Global Hunger Index,2013,5,Under-five Mortality rate  (%),2011,0.6,Prevalence of undernourishment in the population  (%),2010-12,0.4,Prevalence of underweight in children under five years  (%),2008-12,0.9,4.2,4.2,4.7
Benin,8.4,67.4,78.2,350,97,11.2,25.6,67.4,78.2,0.614,0.618,2013 Global Hunger Index,2013,13.3,Under-five Mortality rate  (%),2011,10.6,Prevalence of undernourishment in the population  (%),2010-12,8.1,Prevalence of underweight in children under five years  (%),2008-12,21.2,39.5,39.5,44.4
Bhutan,13.9,65.8,76.5,180,44.9,34,34.5,65.8,76.5,,0.464,2013 Global Hunger Index,2013,,Under-five Mortality rate  (%),2011,5.4,Prevalence of undernourishment in the population  (%),2010-12,,Prevalence of underweight in children under five years  (%),2008-12,12.8,32.75,32.75,35.65
Botswana,7.9,71.7,81.6,160,43.8,73.6,77.5,71.7,81.6,0.497,0.485,2013 Global Hunger Index,2013,13.9,Under-five Mortality rate  (%),2011,2.6,Prevalence of undernourishment in the population  (%),2010-12,27.9,Prevalence of underweight in children under five years  (%),2008-12,11.2,27.65,27.65,32.8
Brazil,9.6,59.6,80.9,56,76,50.5,48.5,59.6,80.9,0.446,0.447,2013 Global Hunger Index,2013,5,Under-five Mortality rate  (%),2011,1.6,Prevalence of undernourishment in the population  (%),2010-12,6.9,Prevalence of underweight in children under five years  (%),2008-12,3,5.8,5.8,8.3
Burkina Faso,15.3,77.5,90.4,300,117.4,0.9,3.2,77.5,90.4,,0.609,2013 Global Hunger Index,2013,22.2,Under-five Mortality rate  (%),2011,14.6,Prevalence of undernourishment in the population  (%),2010-12,25.9,Prevalence of underweight in children under five years  (%),2008-12,26.2,36.275,36.275,41.45
Burundi,34.9,83.7,82.1,800,20.9,5.2,9.2,83.7,82.1,0.466,0.476,2013 Global Hunger Index,2013,38.8,Under-five Mortality rate  (%),2011,13.9,Prevalence of undernourishment in the population  (%),2010-12,73.4,Prevalence of underweight in children under five years  (%),2008-12,29.1,56.95,56.95,63.6
