"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mean_stunting","mean_malnutrition","secondary_education"
"Afghanistan","Asia",0.712,460,99.6,27.6,15.7,80.3,NA,10.1,NA,25,NA,37.50769219,NA,17.8296999576923,NA,NA,36.9280909090909,15.4714285714286,33.1846153846154,39.7,124.011784615385,12.0923076776385,14.7857026555923,2.61623,NA,59.25,32.85,19.9
"Albania","Europe",0.251,27,14.9,15.7,49.6,71.3,5.2,1.4,7.8,6.3,41.8333339683333,42.0153852607692,48.5999991083333,69.7208314984615,97.28178625,96.77938875,95.4225714285714,51.125,0,8.55,22.9264769230769,36.2384615678,41.4475266672,22.67261,NA,29.6833333333333,9.91666666666667,81.9
"Algeria","Africa",0.391,97,6.1,25.6,15,71.9,5,3,3.7,5.7,8.83333301566667,31.42307663,27.43333308,18.4520185646154,85.7596590909091,81.3050963636364,106.046333333333,40.1333333333333,65.2153846153846,1.8,10.0036459230769,10.1000000146692,15.3744005821692,20.4073,5.26667612703333,20.9,6.76666666666667,24.1
"Angola","Africa",NA,450,148.1,38.2,62.9,77.1,19.1,15.8,27.4,14.1,NA,53.1692302415385,NA,84.0835382123077,44.7113,25.92664,75.5824285714286,3.6,55.0461538461538,NA,192.411569230769,50.7076929532615,46.7312140863308,38.92834,NA,29.25,15.6,NA
"Argentina","Americas",0.38,77,54.2,37.7,47.3,74.9,5,1.4,4,1.8,35.2545453845455,43.8153847915385,43.2454546145455,62.3309596007692,96.7711833333333,96.79797,109.460916666667,47.8666666666667,30.0307692307692,NA,58.1943846153846,34.5923076042846,40.0495501286692,31.81856,28.6959654754571,8.15,2.3,55.95
"Armenia","Asia",0.34,30,33.2,10.7,49.4,70.2,5,1.8,3,5.3,31.93999977,42.7076917784615,38.020000456,74.0608525253846,98.4371833333333,98.6864055555556,115.115,36.3333333333333,13.4461538461538,12.0666666666667,30.7759230769231,36.7153844099769,44.5452741899538,18.14856,22.72366059245,18.8333333333333,4.03333333333333,94.45
"Azerbaijan","Asia",0.323,43,31.4,16,61.6,68.5,5,4.5,1.5,3.3,37.6,38.8846150907692,34.740000916,86.8015307746154,98.225405,98.9179458333333,98.5241428571429,35.5,11.2769230769231,12.2,38.3423546153846,40.2153842632538,48.3005989161538,14.25925,23.0855005431167,25.4,11.225,92.85
"Bangladesh","Asia",0.518,240,68.2,19.7,57.2,84.3,19.4,4.6,16.8,36.8,35.6999994933333,60.4461537884615,53.6666666666667,65.71237053,97.58819,89.533005,108.563666666667,46.148,25.8846153846154,65.84,95.1166453846154,51.2307695242077,38.5006884846385,34.89121,23.3894370284,48.8055555555556,41.2833333333333,35.05
"Belarus","Europe",NA,4,20.5,29.7,50.2,62.6,5,0.6,0.4,0.9,42.70000076,39.5384606561538,48.20000076,80.6222823746154,99.3225463636364,99.1575736363636,96.8118,45.5666666666667,28.7076923076923,4.9,23.0897538461538,35.0692305931692,48.8689604914308,58.07224,NA,4.45,1.25,NA
"Benin","Africa",0.618,350,97,8.4,67.4,78.2,13.3,10.6,8.1,21.2,60.25,57.7923079269231,56,83.9441479784615,64.886085,65.29822,49.1002857142857,12.375,54.9923076923077,35.55,106.058340769231,57.8076920142462,46.7077794831,9.807354,NA,41.95,20.85,18.4
"Bhutan","Asia",0.464,180,44.9,13.9,65.8,76.5,NA,5.4,NA,12.8,41.7000001283333,49.4230766307692,40.966667175,80.8392122207692,93.6108083333333,91.26661,94.3402,34,24.7230769230769,25.8,56.7134292307692,49.7692307692308,40.5186265595077,NA,22.69614273346,34.2,11.625,34.25
