"country","region","GII_2012","maternal_mortality_ratio","adolescent_fertility_rate_gii","seats_parlim_female_gii","labor_participation_female_gii","labor_participation_male_gii","ifpri_hunger_index","ifpri_under5_mortality","ifpri_undernourishment","ifpri_under5_underweight","labor_participation_female","labor_participation_total_ilo","labor_participation_total_nat","labor_participation_ratio_ilo","secondary_school_female","secondary_school_male","secondary_school_female_ratio","contraceptive_prevalence","hiv_rate_female","married_by_18_rate","adolescent_fertility_rate","labor_participation_female_ilo","labor_force_female_percent","account_at_financial_inst_female","female_legislators_officials_mgrs","mortality_under5_female","contrib_family_workers_female","credit_card_female","educational_attainment_femae","mortality_rate_female_child","belief_beating_justified","mean_stunting","mean_malnutrition","secondary_education"
"Azerbaijan","Asia",0.323,43,31.4,16,61.6,68.5,5,4.5,1.5,3.3,37.6,38.8846150907692,34.740000916,86.8015307746154,98.225405,98.9179458333333,98.5241428571429,35.5,11.2769230769231,12.2,38.3423546153846,40.2153842632538,48.3005989161538,14.25925,23.0855005431167,45.1666666666667,18.7000001271667,2.51264,93.7111,5,31.3,25.4,11.225,92.85
"Bangladesh","Asia",0.518,240,68.2,19.7,57.2,84.3,19.4,4.6,16.8,36.8,35.6999994933333,60.4461537884615,53.6666666666667,65.71237053,97.58819,89.533005,108.563666666667,46.148,25.8846153846154,65.84,95.1166453846154,51.2307695242077,38.5006884846385,34.89121,23.3894370284,56.4666666666667,60.4333318074333,0.1174349,22.0303,28.725,21.95,48.8055555555556,41.2833333333333,35.05
"Burkina Faso","Africa",0.609,300,117.4,15.3,77.5,90.4,22.2,14.6,25.9,26.2,57.70000076,77.50769219,65.90000153,85.2291839246154,43.4377963636364,46.95978,72.0453846153846,12.35,55.6615384615385,50.4333333333333,129.484,72.9461534940231,47.8572189859154,10.81371,30.950955004,126.766666666667,74.75,1.194626,0.9417,113.1,45.8333333333333,38.8625,31.225,2.05
"Cambodia","Asia",0.473,250,32.9,18.1,79.2,86.7,16.8,4.3,17.1,29,74.11250066875,73.8230772746154,73.38749837875,90.7456778123077,78.8680154545455,82.1300745454545,69.1325,30.8333333333333,50.5461538461538,22.1666666666667,46.9977853846154,74.4153847327615,50.2829057776077,3.712341,15.7788732627667,58.3,34.285713877,0,9.8542,25.15,25.1,43.35,31.4375,16.1
"Dominican Republic","Americas",0.508,150,103.6,19.1,51,78.6,7,2.5,15.4,3.1,40.09999943,52.01538438,50.6999998075,61.7330445669231,92.4064,86.21560375,116.9598,51.75,48.4384615384615,40.475,107.008,40.6000002347308,38.3219875886462,37.37682,32.5805941346,30.1,3.10909092427273,13.49461,55.5819,6.65,0.9,9.88333333333333,3.71666666666667,42.5
"Georgia","Asia",0.438,67,39.5,6.6,55.8,74.2,9.3,2.1,24.7,1.1,26.1444445711111,32.8692312984615,35.8769231938462,75.4102285861538,97.9320325,99.03159875,98.0325,33.5666666666667,26.0461538461538,15.6,49.5653084615385,24.9692306518692,46.9056047515231,34.92281,27.075414866025,18.9333333333333,37.4999999999889,10.10887,89.6843,4.1,2.4,12.95,1.7,91.2
"Indonesia","Asia",0.494,220,42.3,18.2,51.2,84.2,10.1,3.2,8.6,18.6,43.3333339716667,52.9153847323077,52.20000013,59.5458544207692,88.327007,85.929654,99.6628181818182,53.683,32.9846153846154,21.0666666666667,50.4287538461538,42.5923077509923,37.5392344625154,19.20753,20.9106737933,33.8666666666667,36.5499997138875,0.3277563,39.8538,11.5,5.93333333333333,38.36,21.9375,41.5
"Kazakhstan","Asia",0.312,51,25.5,18.2,66.6,77.2,5,2.8,0.5,3.7,46.19999981,48.7307695246154,49.5249996175,86.4134269015385,99.6076938461539,99.6998776923077,98.0558461538462,34.5666666666667,32.2461538461538,6.7,29.5011230769231,45.6461539635231,49.3546710954077,43.73284,35.6955591219,23.1666666666667,0.999999997525,8.616769,99.2501,3.8,4.3,15.25,4.25,99.35
"Mongolia","Asia",0.328,63,18.7,12.7,54.3,65.5,10.8,3.1,24.2,5,34.739999771,38.5769230769231,38.549999618,83.9275750992308,98.707592,96.994407,112.318,49.42,47.1769230769231,5.86666666666667,20.3813230769231,33.7230771871769,46.2007202614615,82.365,44.88292975164,36.1,34.7571427481286,2.168123,85.2926,10.4,10.5,26.7833333333333,7.21666666666667,82.4
"Peru","Americas",0.387,67,48.7,21.5,67.8,84.7,5.5,1.8,11.2,3.4,50.4428569242857,57.6846152092308,56.2428567042857,75.7315341215385,91.5898528571429,94.4533342857143,96.6338461538462,64.3375,29.3230769230769,18.6714285714286,56.8180453846154,51.6692308279154,43.2614696775462,17.56129,26.2318917734,23.1,18.3384615458,9.53695,56.2925,9.66666666666667,0.933333333333333,29.75,5.01666666666667,53.2
"Philippines","Asia",0.418,99,46.5,22.1,49.7,79.4,13.2,2.5,17,20.2,36.890000154,47.70769266,47.790000153,62.1399890984615,96.45029875,97.58573875,110.543111111111,44.7,27.4461538461538,14.1,52.0968461538462,36.9769228421692,38.6204086766692,33.71373,57.4056810940875,29.9333333333333,17.2777775658556,3.959437,65.8785,9.2,4,33.1833333333333,20.5833333333333,64.8
"Trinidad and Tobago","Americas",0.311,46,31.6,27.4,54.9,78.3,5,2.8,9.3,2.6,43.124999045,51.4615384615385,51.8249998075,67.4218391015385,93.1705483333333,90.9541666666667,107.122,21.25,48.7384615384615,8.1,37.7327984615385,43.1615386376077,40.9619082956308,69.85585,40.1053021951667,21.9666666666667,2.08333335321667,13.09451,59.3857,8.2,1.4,5.25,4.35,59.3
"Ukraine","Europe",0.338,32,26.1,8,53.3,66.6,5,1,0.9,1.2,36.159999846,40.7923079284615,40.340000151,80.0665714538462,99.5261822222222,99.4331277777778,98.477,44.4333333333333,36.2,8.15,29.7241692307692,36.4461532005846,49.1137820292615,39.20775,38.8771787164111,11.9333333333333,0.875000007441667,17.94522,85.2525,1,0.85,22.85,4.15,93.8
