"Country.Name","Country.Code","Indicator.Code","Mean.Stunting","Most.Recent.Stunting"
"Afghanistan","AFG","SH.STA.STNT.MA.ZS",60,60
"Albania","ALB","SH.STA.STNT.MA.ZS",30.9333333333333,22.8
"Algeria","DZA","SH.STA.STNT.MA.ZS",22.2333333333333,16.7
"Angola","AGO","SH.STA.STNT.MA.ZS",32.4,32.4
"Argentina","ARG","SH.STA.STNT.MA.ZS",8.2,8.2
"Armenia","ARM","SH.STA.STNT.MA.ZS",19.5666666666667,21.7
"Azerbaijan","AZE","SH.STA.STNT.MA.ZS",26.45,28.5
"Bangladesh","BGD","SH.STA.STNT.MA.ZS",49.2888888888889,40.7
"Belarus","BLR","SH.STA.STNT.MA.ZS",4.7,4.7
"Belize","BLZ","SH.STA.STNT.MA.ZS",21.3,18.6
"Benin","BEN","SH.STA.STNT.MA.ZS",44.4,47.9
"Bhutan","BTN","SH.STA.STNT.MA.ZS",35.65,33.6
"Bolivia","BOL","SH.STA.STNT.MA.ZS",30.8,28.1
"Bosnia and Herzegovina","BIH","SH.STA.STNT.MA.ZS",11.6333333333333,8.9
"Botswana","BWA","SH.STA.STNT.MA.ZS",32.8,34
"Brazil","BRA","SH.STA.STNT.MA.ZS",8.3,8.3
"Bulgaria","BGR","SH.STA.STNT.MA.ZS",5.3,5.3
"Burkina Faso","BFA","SH.STA.STNT.MA.ZS",41.45,37.4
"Burundi","BDI","SH.STA.STNT.MA.ZS",63.6,61.7
"Cambodia","KHM","SH.STA.STNT.MA.ZS",44.85,42.3
"Cameroon","CMR","SH.STA.STNT.MA.ZS",37.1,35.3
"Central African Republic","CAF","SH.STA.STNT.MA.ZS",47.05,47.7
"Chad","TCD","SH.STA.STNT.MA.ZS",43.3,45.3
"Chile","CHL","SH.STA.STNT.MA.ZS",2.2,2.2
"China","CHN","SH.STA.STNT.MA.ZS",15.2333333333333,9.9
"Colombia","COL","SH.STA.STNT.MA.ZS",16.8333333333333,13.7
"Comoros","COM","SH.STA.STNT.MA.ZS",46.5,46.5
"Congo, Dem. Rep.","ZAR","SH.STA.STNT.MA.ZS",47.8333333333333,47.5
"Congo, Rep.","COG","SH.STA.STNT.MA.ZS",33.2,33.2
"Costa Rica","CRI","SH.STA.STNT.MA.ZS",4.8,4.8
"Cote d'Ivoire","CIV","SH.STA.STNT.MA.ZS",41.7,40.1
"Czech Republic","CZE","SH.STA.STNT.MA.ZS",3.1,3.1
"Djibouti","DJI","SH.STA.STNT.MA.ZS",32.0333333333333,33.8
"Dominican Republic","DOM","SH.STA.STNT.MA.ZS",11.2666666666667,11.2
"Ecuador","ECU","SH.STA.STNT.MA.ZS",30.5,30.5
"Egypt, Arab Rep.","EGY","SH.STA.STNT.MA.ZS",26.85,33
"El Salvador","SLV","SH.STA.STNT.MA.ZS",23.45,21.3
"Equatorial Guinea","GNQ","SH.STA.STNT.MA.ZS",41,36
"Eritrea","ERI","SH.STA.STNT.MA.ZS",45.4,45.4
"Ethiopia","ETH","SH.STA.STNT.MA.ZS",52.2666666666667,46.1
"Fiji","FJI","SH.STA.STNT.MA.ZS",8,8
"Gabon","GAB","SH.STA.STNT.MA.ZS",24.4,19.8
"Gambia, The","GMB","SH.STA.STNT.MA.ZS",27.25,28.6
